symptom,show_output,root_cause,fix,osi_layer,severity,category
"A laptop can see the wireless network but repeatedly fails to authenticate and never gets an IP address","AccessPoint# show running-config | section encryption
interface Dot11Radio0
 encryption mode ciphers aes-ccm
 authentication key-management wpa version 2
Client: WPA2-PSK passphrase mismatch, association failed","The client's WPA2 pre-shared key does not match the passphrase configured on the access point, causing authentication to fail before an IP can be assigned","Correct the WPA2 passphrase on the client to match the AP's configured key, then reconnect and verify DHCP lease is obtained",2,Medium,Wireless
"A newly cabled server has no link light and cannot be reached at all from the network","Switch# show interfaces GigabitEthernet0/5
GigabitEthernet0/5 is administratively down, line protocol is down
  Full-duplex, 1000Mb/s, media type is 10/100/1000BaseTX","The interface was left administratively shut down (likely from a prior configuration or accidental 'shutdown' command), so no link can form regardless of cabling","Issue 'no shutdown' on GigabitEthernet0/5 and verify link status changes to 'up, line protocol is up'",1,Critical,Routing
"A workstation was moved to a new port and immediately lost network access; the port shows a security violation","Switch# show port-security interface FastEthernet0/6
Port Security              : Enabled
Port Status                : Secure-shutdown
Violation Mode              : Shutdown
Maximum MAC Addresses       : 1
Total MAC Addresses         : 1
Last Source Address:Vlan   : 00E0.8F1A.5C3B:10","Port security on Fa0/6 was configured with a sticky/static MAC address for the previous device; the new workstation's differing MAC address triggered a security violation and shut the port down","Clear the port-security violation with 'shutdown' / 'no shutdown' and either clear the sticky MAC or reconfigure with the correct address, or raise 'maximum' if multiple devices are expected",2,Medium,VLAN
"A new VLAN was assigned to several ports but end devices on those ports cannot communicate with anything, even each other","Switch# show vlan brief
VLAN Name                             Status    Ports
1    default                          active
Switch# show interfaces Fa0/9 switchport
Administrative Mode: static access
Access Mode VLAN: 40 (Inactive)","VLAN 40 was assigned to interface Fa0/9 but was never created in the switch's VLAN database, leaving the port in an inactive VLAN state","Create the VLAN with 'vlan 40' / 'name <name>' in global config, then verify the port becomes active in 'show vlan brief'",2,High,VLAN
"A router with subinterfaces for inter-VLAN routing is not routing traffic for VLAN 50 even though the physical trunk is up","Router# show ip interface brief
GigabitEthernet0/0.50     unassigned      YES manual administratively down down
Router# show run interface gigabitEthernet0/0.50
interface GigabitEthernet0/0.50
 encapsulation dot1Q 500
 ip address 192.168.50.1 255.255.255.0","The subinterface was configured with 'encapsulation dot1Q 500' instead of the correct VLAN tag 50, so it never matches frames tagged for VLAN 50 arriving on the trunk","Correct the encapsulation statement to 'encapsulation dot1Q 50' matching the actual VLAN ID, then bring the subinterface up with 'no shutdown'",3,High,Trunk
"Two neighboring routers running OSPF never form a neighbor relationship even though the link is up and IPs are reachable","Router# show ip ospf neighbor
Router# show ip ospf interface GigabitEthernet0/0
GigabitEthernet0/0 is up, line protocol is up
  Internet Address 10.0.0.1/30, Area 0
%OSPF: Mismatch Area ID for interface GigabitEthernet0/0 - local Area 0, remote Area 1","The two routers have their OSPF interfaces configured in different areas (Area 0 vs Area 1), preventing a neighbor adjacency from forming","Correct the network statement or interface area assignment so both routers use the same OSPF area, e.g. 'network 10.0.0.0 0.0.0.3 area 0' on both sides",3,Medium,Routing
"OSPF neighbors flap up and down repeatedly (2-Way to Down) on a point-to-point WAN link","Router# show ip ospf interface Serial0/0/0
  Hello interval 10, Dead interval 40
%OSPF-5-ADJCHG: Process 1, Nbr 10.0.0.2 on Serial0/0/0 from FULL to DOWN, Neighbor Down: Dead timer expired
(Remote router configured with Hello 5 / Dead 20)","Mismatched OSPF hello and dead timers between the two routers cause the dead timer to expire before hello packets are received, flapping the adjacency","Set matching hello/dead timers on both routers with 'ip ospf hello-interval 10' and 'ip ospf dead-interval 40' (or restore to matching defaults)",3,Medium,Routing
"Two EIGRP routers on the same link never establish a neighbor relationship despite correct IP addressing","Router# show ip eigrp neighbors
Router# debug eigrp packets
EIGRP: Received packet with AS 200, expected AS 100, discarding","The routers are configured with mismatched EIGRP autonomous system numbers (AS 100 vs AS 200), causing all EIGRP packets to be discarded as unrecognized","Reconfigure both routers to use the same EIGRP AS number, e.g. 'router eigrp 100' on both, matching the network design",3,Medium,Routing
"An ACL intended to permit only the 192.168.10.0/24 subnet is unexpectedly permitting nearly the entire network range","Router# show access-lists 20
Standard IP access list 20
    10 permit 192.168.10.0, wildcard bits 0.0.255.255","The wildcard mask 0.0.255.255 was used instead of 0.0.0.255, matching any address in 192.168.0.0/16 rather than just the intended /24 subnet","Correct the wildcard mask to 0.0.0.255 so the ACL matches only 192.168.10.0/24, then re-verify allowed traffic",3,Medium,ACL
"When the active HSRP router is rebooted for maintenance, hosts lose their gateway and cannot fail over to the standby router","Router# show standby brief
Interface   Grp Pri P State    Active          Standby         Virtual IP
Gi0/0       1   100  Active   local           unknown         192.168.1.1
(Standby router)  Router2# show standby brief
Interface   Grp Pri P State    Active          Standby         Virtual IP
Gi0/0       2   90   Active   local           unknown         192.168.1.2","The two routers were configured with different HSRP group numbers (1 vs 2) and different virtual IP addresses, so they never recognize each other as part of the same standby group","Configure both routers with the same HSRP group number and identical virtual IP address, e.g. 'standby 1 ip 192.168.1.1' on both",3,High,Routing
"After adding a new switch to the network, VLANs configured elsewhere in the campus disappear from all switches","Switch# show vtp status
VTP Version                    : 2
Configuration Revision         : 25
VTP Operating Mode             : Server
VTP Domain Name                : (blank on new switch, overriding higher revision)","A newly added switch joined the VTP domain with a higher configuration revision number but an empty/incorrect VLAN database, propagating a VLAN wipe to the whole domain","Reset the offending switch's VTP revision number (e.g. by changing domain name) before joining the domain, and restore the VLAN database from a backup switch",2,Critical,VLAN
"Large file transfers between two routers across a WAN link stall or fragment excessively while small packets work fine","Router# show interfaces Serial0/0/0
Serial0/0/0 is up, line protocol is up
  MTU 1500 bytes
Remote Router# show interfaces Serial0/0/0
Serial0/0/0 is up, line protocol is up
  MTU 1400 bytes","The two ends of the WAN link are configured with mismatched MTU values (1500 vs 1400), causing fragmentation and performance issues for larger packets","Set matching MTU values on both ends of the link with 'mtu 1500' (or an agreed value), then verify with 'show interfaces'",2,Low,Routing
"A link between a switch and a server shows extremely high late collisions and poor throughput","Switch# show interfaces FastEthernet0/12
FastEthernet0/12 is up, line protocol is up
  Half-duplex, 100Mb/s
  5000 late collisions, 12 output errors
Server NIC configured for: Full-duplex, 100Mb/s","A duplex mismatch exists between the switch port (half-duplex) and the server NIC (full-duplex), producing late collisions and degraded performance","Set both ends to full-duplex explicitly with 'duplex full' on the switchport, or ensure autonegotiation is enabled on both sides",1,Medium,Routing
"DHCP clients on a subnet across a router hop from the DHCP server never receive an IP address, while clients on the DHCP server's own subnet work fine","Router# show run interface GigabitEthernet0/1
interface GigabitEthernet0/1
 ip address 192.168.20.1 255.255.255.0
 (no ip helper-address configured)","The router interface facing the remote subnet lacks an 'ip helper-address' statement, so DHCP broadcast requests from that subnet are never relayed to the DHCP server","Add 'ip helper-address 192.168.1.10' (the DHCP server's address) on GigabitEthernet0/1 to relay DHCP broadcasts",3,High,DHCP
"A busy NAT router starts denying new outbound connections for all users during peak hours despite having plenty of public IPs in the pool","Router# show ip nat statistics
Total active translations: 5000 (0 static, 5000 dynamic; 0 extended)
%NAT-4-TRANSLATION_TABLE_FULL: NAT translation table for pool NAT_POOL is full","The NAT translation table reached its maximum entry limit under high session volume, causing new outbound connection attempts to be dropped","Increase the NAT translation table limit with 'ip nat translation max-entries' or shorten idle-timeout values with 'ip nat translation timeout', then monitor with 'show ip nat statistics'",4,Medium,NAT
"A newly installed router interface shows correct IP configuration but line protocol never comes up and no traffic passes","Router# show ip interface brief
GigabitEthernet0/0     192.168.1.1     YES manual administratively down down","The interface remains administratively shut down because 'no shutdown' was never issued after initial configuration","Issue 'no shutdown' on GigabitEthernet0/0 and confirm status changes to 'up, line protocol is up'",1,High,Routing
"Traffic on a trunk link is dropped for one specific VLAN while all other VLANs pass normally between two switches","Switch# show interfaces trunk
Port        Vlans allowed on trunk
Gi0/1       1-9,11-4094
Port        Vlans allowed and active in management domain
Gi0/1       1,10,20,30","VLAN 10 is missing from the trunk's allowed VLAN list (the range excludes VLAN 10 by way of '1-9,11-4094'), so tagged frames for VLAN 10 are dropped on the trunk","Add VLAN 10 back to the trunk's allowed list with 'switchport trunk allowed vlan add 10' on the Gi0/1 interface",2,Medium,Trunk
